package,old,new,delta
dcurves,0.5.0,0.5.0.9000,*
backports,1.5.0,1.5.0,
broom,1.0.10,1.0.10,
cli,3.6.5,3.6.5,
cpp11,0.5.2,0.5.2,
dplyr,1.1.4,1.1.4,
farver,2.1.2,2.1.2,
generics,0.1.4,0.1.4,
ggplot2,4.0.0,4.0.0,
glue,1.8.0,1.8.0,
gtable,0.3.6,0.3.6,
isoband,0.2.7,0.2.7,
labeling,0.4.3,0.4.3,
lifecycle,1.0.4,1.0.4,
magrittr,2.0.4,2.0.4,
pillar,1.11.1,1.11.1,
pkgconfig,2.0.3,2.0.3,
purrr,1.2.0,1.2.0,
R6,2.6.1,2.6.1,
RColorBrewer,1.1-3,1.1-3,
rlang,1.1.6,1.1.6,
S7,0.2.0,0.2.0,
scales,1.4.0,1.4.0,
stringi,1.8.7,1.8.7,
stringr,1.6.0,1.6.0,
tibble,3.3.0,3.3.0,
tidyr,1.3.1,1.3.1,
tidyselect,1.2.1,1.2.1,
utf8,1.2.6,1.2.6,
vctrs,0.6.5,0.6.5,
viridisLite,0.4.2,0.4.2,
withr,3.0.2,3.0.2,
